number,tweet,label
82,این قرمز منه دوسش دارم خیلی زیاد😍 مرسی @soorennn رفیق جان @vintagesport_ir  #پرسپولیس https://t.co/wDLgzxlXPW,sport
83,"این ویدئو حجت رو برای هواداران #پرسپولیس در مورد رسول پناه مشخص میکنه! با همچین شخصیتی اصلا نباید انتظار موفقیت داشت، همینکه سقوط نکنیم راضی هستیم! موندم این همه مدیر درست و حسابی چرا این آدم ""ناصادق"" و بی سواد باید بالای سر پرسپولیس باشه؟ بشار حسن؟!!!  #وزیر_پرسپولیسی https://t.co/OT3gCJ5whN",sport
84,آقای دندانپزشک بشار حسن نه بشار رسن #پرسپوليس https://t.co/6odVJ7Hsqz,sport
93,@sepideh_bahram این فن آخره 😂❤️❤️❤️❤️❤️❤️ #پرسپوليس,sport
94,"حاضریم وزارت هم #برانکو رو برگردونه هم #استرا رو هم سطح فوتبال مملکت بالا میره هم در شرایط برابر رقابت می کنیم , اما پرسپولیسیامثل ما فکر نمیکنن اونا به خاطر برانکو و #پرسپولیس حتی #کیروش مربی موفق #تیم_ملی رو هم تخریب کردن #ویلموتس نتیجه این خودخواهیه #استراماچونی_را_برگردانید",sport
96,آقا یحیی میدونیم کار خیلی سختی در پیش داری اما تلاش و تلاش و تلاش و تلاش و تلاش و تلاش و تلاش و تلاش و تلاش هر کار سختی رو آسون میکنه✌️ 👈ما اینو ازت میخوایم #تلاش تلاش کن تیمتو بساز  تو میتونی مَرد✌️ #پرسپولیس 6❤️ https://t.co/q1htyGbtXC,sport
112,تیم التعاون حریف #پرسپولیس در 7 بازی اخیر خودش 6 باخت داشته و در بازی اخر لیگ عربستان با گل دقایق پایانی در لیگ موندنی شد.  بردن این تیم در 2 بازی بعدی فقط جسارت میخواد و کاملا در دسترسه. شانس خوبی برای صعود داریم اگه باهوش بازی کنیم. https://t.co/28DALsSnZm,sport
116,وقتی دکتر مثلا دندونپزشک وزیر اسم دقیق بشار رسن رو بشار حسن میخونه باید گل بگیری در اون دانشگاهی که مدرک میدهند به این دست افراد و گل دوم را باید بگیری در وزارتخونه ای که یکسری افراد معلومالحال رو مدیرعامل باشگاه بزرگ #پرسپولیس میکنند که احترام به حقوق دیگران هویتشان را نمیفهمند,sport
117,@PersepolisFC خدایا خودت هوای تیممونو داشته باش🙏❤💪 #پرسپولیس,sport
118,اولین تمرین پرسپولیس در قطر برگزار شد #پرسپولیس https://t.co/6QJ1eER46h,sport
119,همه می دانیم و عیان است که #رسول‌پناه هیچ گونه سابقه‌ی هواداری از #پرسپوليس را ندارد و از زمانی که صرفاً بدلیل دوستی با وزیر سرپرست این باشگاه شد نیز برای تضعیف تیم از هیچ کوششی دریغ نکرده، امروز با پررویی و وقاحت تمام گفته: #برانکو ثابت کند که پرسپولیسیه! تف بر این رزالت,sport
121,@PejmanRahbar واسه برگردوندن برانکو به چه دلیل ایقد تلاش نکردین مگه وجود برانکو به عنوان مستشار خارجی به فوتبال کمک نمیکرد مشکلت با #پرسپولیس چیه,sport
122,ورزش 3 خیانت کار به فوتبال ایران ! حتی در کوچکترین بحث ها آلومینیوم باید بر اساس حروف الفبا اول باشد !  #قدرت_فراقانونی  #استقلال #پرسپوليس https://t.co/5JtL3fc8RE,sport
133,@alibaba53331544 @sadist4x4 @YOoSHi72 @Fakestar240 @sefiid20 @ladyblocker1 شما که عشقی علی آقا  حرف همه مون همینه خدایی  #پرسپوليس #کُخات,sport
134,نظر من در مورد رسول پناه و هیت مدیره #پرسپولیس جان. https://t.co/VlAUqVmgcv,sport
136,صدبارم به دنیا بیام تویی انتخابم// هرسوالی که بپرسن تویی جوابم// #پرسپولیس #حمایت #acl https://t.co/NEby4iOYBj,sport
137,این فرق تیم حکومتی و غیر حکومتیه. #لنگی ها چشماشونو وا کنن. ۷ بازیکن #پرسپولیس بدون ویزا به قطر رفتن اما بازیکنهای #استقلال منتظر ویزاشونن. این یعنی پرسپولیس برای بازی آماده تر هستند. اینا یعنی #فساد . حالا برو باز یه داستانی بساز که توجیه کنی. همینطوری چهارسال قهرمان شدید. https://t.co/h6jJjgJyUO,sport
138,به خدا برانکو به ما پرسپولیسی ها ثابت شدس. این شمایید که ثابت نشدیدو نخواهید شد. آدم گریش میگیره اینجور آدما میان با دل چهل میلیون هوادار بازی میکنن. ولی اینو مطمئنم که چند روز دیگه که گند زد به تیم قهرمان استعفا میده میره. چون ماموریت انجام شد. #پرسپولیسم_تنهاست #پرسپولیس https://t.co/hiAZ8KMycI,sport
140,قرارداد ۷ بازیکن جدید ما از بازیکنان فصل قبل کمتر است رسول پناه:اولویت ما تقویت تیم بود سپس پرداخت طلب برانکو  شرح در #پرسپولیس نیوز👇 https://t.co/UcSkA36GgM  #روزنامه_پرسپولیس,sport
141,کاش یک نفر بگوید چرا کارمان به اینجا رسید؟ چرا تیمی که به فینال آسیا رسیده بود و بیش از دو میلیون دلار پاداش گرفته بود حتی از دادن دستمزد مربی قهرمانش عاجز ماند.. دلمان میسوزد و هیچ کاری از دستمان برنمی‌آید.. #طلب_برانکو_را_پرداخت_کنید  #پرسپولیس  #fakestar240 https://t.co/MD0zqXIFn8,sport
145,سوال از كاربران توييتر #پرسپولیس  شما اگر جايى مديريت باشگاه پرسپوليس بوديد اولويت پرداخت پول برانكو و حفظ تيم بود يا تقويت تيم و محرميت از نقل انتقالات به مدت ٢سال ؟ #ريت #پرسپولیس,sport
147,هدف ما که آسیب رساندن نبود، اما بهتره بیشتر دقت کنید... #پرسپولیس https://t.co/SN1hAFz1Zu https://t.co/vL8NSXNujY,sport
149,📊 #نظرسنجی‌پرسپولیسی 🟥 #پرسپولیس در زمان مدیریت هر یک از مدیرعاملان این باشگاه ، ایراداتی داشته ؛ اما به نظر شما کدام مدیر عامل عملکرد بهتری نسبت به دیگر مدیران عامل داشته ؟ @fcperespolis  🔻 ۱-خردبین ۲-کاشانی ۳-رویانیان ۴-عرب ۵-انصاری فرد ۶-رسول پناه 🔺,sport
150,تغییرات مدیریتی و کادر فنی #پرسپولیس طی ۴ سال اخیر که تماما توسط شخص وزیر راهبری شده! ❌مدیرعامل: طاهری ⬅️ گرشاسبی ⬅️ عرب ⬅️ انصاری فرد ⬅️ گرازپناه ❌مربی: برانکو ⬅️ کالدرون ⬅️ یحیی امسال نوبت بازیکنان و خروج ستاره ها برای زمین زدن پرسپولیس بود! #قدرت_فراقانونی,sport
152,اگه آقای رسول‌پناه بموقع با #برانکو تسویه کنه و بتونه #یحیی رو هم دلگرم نگهداره برای موندن تو #پرسپوليس و تلاش برای قهرمانی پنجم،من که بهش ایمان میارم. نمیشه دائم به مدیریت نقد کرد،اما مشکلاتی که بقیه بوجود آوردن و میارن رو نادیده گرفت! دلال‌ها و جنگ زرگری بعضی بازیکنان داخلی و..,sport
160,#پرسپوليس به زودی #محروم خواهد شد. https://t.co/QEtf4dCoP2,sport
163,تیم الشارجه رقیب #پرسپولیس برای آسیا وارد قطر شد https://t.co/u5Jg2G4lYN,sport
165,یادش بخیر ۲۰ و چند سال پیش ماه رمضون بود،بازی #پرسپوليس و نفت آبادان ساعت ۸/۵ شب بعد افطار رفتم استادیوم جلوی در از این ساندویج ها خریدم ۳ تا ۱۰۰ تومن  ۱۰۰تا تک تومن چقدر چسبید هنوز مزه نونش که با آب گوجه خیس شده بود زیر زبونمه  خیارشور بیات هم داشت البته😁 https://t.co/UMBurO9U6J,sport
166,برای حفظ اخلاق #طلب_برانکو_را_بدهید #پرسپوليس  #ایران,sport
171,بیرو دمت گرم خوب ریدی به رسول پناه  #پرسپوليس,sport
175,#پرسپولیس دیگه بسشه #استقلال باید قهرمان بشه آفرین #سلطانی_فر آفرین #تیم_حکومتی #کیسه_تهران,sport
176,دنبال هشتگ مفید میگردین؟ این استقلالی مدت‌هاست توی پرسپولیس نفوذ کرده رسما شده همه کاره‌ی تیم، با بدترین لحن با بازیکنا مذاکره کرد و شب سفر به قطر، برای بازیکن خط و نشون میکشه  برای بیرون کردن این هیولا هشتگ بزنید #اخراج_رغبتی  #طلب_برانکو_را_پرداخت_کنید #پرسپوليس https://t.co/3HRAxlmums,sport
182,رئیس هیات مدیره باشگاه #پرسپولیس درباره خروج #مهدی_ترابی از این تیم گفت: «این بازیکن یک پیشنهاد ۲۰ -۳۰ میلیاردی داشته و ترجیح داد #آینده زندگی خودش را تامین کند.» https://t.co/xM6dHDloC2,sport
187,"مدیرعامل #پرسپوليس:""فوتبال ایران دست چند دلال است!""این حرف جدیدی نیست.۲۰ساله مدام تکرار میشه.راه حل ساده‌ای هم داره؛۱۶تا مدیرعاملن،با هم یکی بشن از دلالها بازیکن ‌نگیرن.هیچ اتفاقی نمیفته.قیمتها هم شکسته میشه.حالا چرا به جای این کار ساده منتظر مثلا قوه‌قضاییه هستن؟الله‌اعلم!",sport
191,حواشی سفر #استقلال و #پرسپوليس  به قطر برای ادامه رقابت های لیگ قهرمانان https://t.co/OIBpWhdafh,sport
195,چه خوشتیپ اند 😍😍😍❤  #پرسپولیس https://t.co/q60fVgvwpR,sport
200,رسول پناه گفته برانکو اگر پرسپولیسی واقعی باشه وقت میده بهمون ضمن اعلام کلمه وات د فاک بگم که برانکو رو من هم ردیف پروین میبینم تو پرسپولیسی بودن اگه واقعا پولشو ندن حقمونه هر بلایی سر باشگاه بیارن #پرسپوليس,sport
202,وزارت خارجه، یا وزارت ماله کش برای #پرسپولیس؟ #استراماچونی_را_برگردانید,sport
204,پول بیت المال در جیب دو تیم مفت خور تهرانی  بدون عینک قضاوت ملاحظه کنید #پیروزی و تیم تاج ( #پرسپولیس، #استقلال ) قایناق : https://t.co/UDbZyfpwvy https://t.co/RcH9DidrKd https://t.co/6CgzVcnMDu,sport
214,به نظرت تیمی که #قدرت_فراقانونی داره همچین اشتباهی رو میکنه  این ماییم که باید همه چی رو روکنیم سره قراداد دیاباته که لو رفت ندیدی چه حجمه هایی وارد کردن  رفتن برای بشارم یه قرارداد جعلی درست کردن  اینا همشون فیلمه تا کی میخوایم بازی بخوریم #پرسپوليس #پرسپولیسم_تنهاست https://t.co/MB78YPRAjO,sport
217,اگه جای ترند هشتگ فلانی رو برگردانید میزدیم #زندگی_را_برگردانید   #دلخوشی_را_برگردانید  #جوانی_را_برگردانید شاید الان وضعیت زندگیمون از منطقه ی خطر فاصله میگرفت..!! #فوتبال #استقلال #پرسپولیس #استراماچونی #گرشاسبی #لیگ_برتر,sport
220,وکیل #برانکو: #پرسپولیس به زودی محروم خواهد شد  دارو بوسیچ، وکیل برانکو:  با توجه به اینکه پول موکل من ( برانکو) تا این لحظه پرداخت نشده، پرسپولیسی ها به زودی از سوی فیفا با محرومیت مواجه خواهند شد./باشگاه خبرنگاران https://t.co/eqscYSldTI,sport
227,فیلم از #اپلیکیشن_پرسپولیس حذف شد.. کاش پاداش آسیایی #پرسپولیس هم که خرج استقلال شد برمیگشت. https://t.co/SN1hAFz1Zu,sport
229,هر چند روز یه بار تو یکی از این پیجای هواداری تگ می شم و آدمای نزدیک به مفت خورهایی که خون #استقلال و #پرسپولیس رو مثل زالو می مکن ، کلی فحش می خورم ولی واقعا اگر فکر کردید تیمتون با امثال فتل، طاهری وحبیب و... از این معضلات رها میشه، از این وضعیت رها نمی شین  تا ابد..,sport
232,پرسپولیس شش بار دروازه تاج را گشود. خبر دربی شهریور ۱۳۵۲  👇 👇 #پرسپولیس https://t.co/FghW1h3itQ,sport
241,#پرسپولیس برای شرکت در لیگ قهرمانان آسیا راهی قطر شد. فارس: تا دیشب ویزای یحیی گل‌محمدی، داود فنایی، حمید مطهری و مظاهر رحیم پور از اعضای کادرفنی و حامد لک، بشار رسن و احسان حسینی از بازیکنان تیم صادر نشده بود قرار است در فرودگاه سفیر ایران برای دریافت ویزای این افراد اقدام کند. https://t.co/Hw2ahAD6rL,sport
243,@Amijr10neymar ادبیاتت که خوب نبود ولی عیب نداره ! نتایج نشون میده #برانکو چگونه توانست تیم #پرسپولیس رو با پنجره ی بسته صاحب  جام کنه ، استرا تو مدت کوتاهی که بود بنظر عملکردش خوب بود . امیدوارم بیاد و بتونه استقلال رو از نایب قهرمانی هاش برهاند !!,sport
245,#برانکو: تنها خواسته من از باشگاه #پرسپولیس این بود که همانطور که من با آنها رفتار کردم، با احترام با من رفتار می‌کردند و طلب من را طبق قراردادی که با هم داشتیم، پرداخت می‌کردند. بار دیگر از هواداران پرسپولیس قدردانی می‌کنم و می‌خواهم بگویم که عاشق‌شان هستم.,sport
246,#برانکو: #پرسپولیس و هوادارانش بابت لحظاتی که با هم داشته‌ایم، بابت کارهایی که با هم انجامش دادیم و بابت بزرگترین موفقیت‌های تاریخ باشگاه تا پایان عمرم در قلب من خواهند بود.,sport
247,#رشتو  #برانکو در گفت‌وگو با «تسنیم» در واکنش به حمایت هواداران #پرسپولیس که در روزهای اخیر در شبکه‌های اجتماعی خواهان پرداخت هر چه سریعتر مطالبات سرمربی پیشین خود شده‌اند، گفت: از تمامی هواداران بابت عشق و محبتی که نسبت به من داشته‌اند، قدردانی می‌کنم و من هم به آنها عشق می‌ورزم https://t.co/lyj6vpXsGn,sport
249,@JamaatMohamad حاجی شما که دنبال حق هستید و رنگها هم براتون مهم نیست یک گزارشی از اون معاون #پرسپوليس که به جرم فساد دستگیر شد تهیه کنید. خیر ببینی  #شفافیت #فساد,sport
253,بازیکنان #پرسپولیس برای قطر به سفر سوار هواپیما شدند https://t.co/GP11YqqJmc https://t.co/LbvNZACom6,sport
257,عمرا کم شخصیت تر از پرسپولیسی جماعت دیده باشین  میناوند : به پرسپولیس گل زدین ؟!!!  احسان پهلوان : غلط کردیم  میناوند: یه بار دیگه بگو   احسان پهلوان : غلط کردم  کلا ریدم به شخصیت نداشته تون  #استراماچونی_را_برگردانید  #استقلال  #پرسپولیس https://t.co/48eal7vndw,sport
258,همانطور که انتظارش می‌رفت، وعده مدیران باشگاه #پرسپولیس در قبال #برانکو عملی نشد و تا ساعتی دیگر وکیل برانکو در نامه‌ای این موضوع را به اطلاع #فیفا خواهد رساند. خب آقایان به هدف‌تان رسیدید و پنجره پرسپولیس رو بستید.,sport
261,انصافااین توییت شما،  پاسخ به تمام کلکل من با عزیزان استقلالی هست!:)))) حالا باز خوبه فرمودین در دوران فلانی،  خب مینوشتی در تمامی دوران ها،   دیگه باید توبه کنم از بحثی که اینطور بی منطق باشه.  #پرسپولیس  #پوکر https://t.co/vQycEpzVCK,sport
262,حالا شما خودتون و بزنيد به اون راه ولي ما كه ميدونيم علت اين پرداخت نكردن ها برنامه ريزي شده واس محروميت #پرسپولیس و قهرماني تيم سوگولي  وزارت و دارو دسته است  #طلب_برانكو_را_پرداخت_كنيد,sport
273,قدرت فراقانونی فقط اونجا که بازیکنان پرسپولیس بدون ویزا میرن قطر، وزارت امورخارجه س یا وزارت رفع ورجوع کردن گندکاریهای برون مرزی #پرسپولیس؟ #استراماچونی_را_برگردانید,sport
274,عزیزان بی پرده امکان بازگشت برانکو یا گرشاسبی به هیچ وجه ممکن نیست!تنها درخواست اضطراری و حیاتی هواداران باید پرداخت مطالبات برانکو باشد و اگر خواهان موفقیت در این فصل سخت هستید نباید حمایت بی چون و چرای خودتان را از یحیی دریغ کنید. #پرسپولیس  #طلب_برانکو_را_پرداخت_کنید,sport
275,"یکی از امیدواری های این هفته من اینه که سه شنبه #پرسپولیس بازی داره, کاری به برد و باختش ندارم, همین که تماشایش می کنم برایم انرژی بخش است و بهم امید و انگیزه می ده برای ادامه دادن",sport
276,#طلب_برانکو_را_پرداخت_کنید و اوون فیلم مسخره رو هم از اپ #پرسپولیس پاک کنید؛خدا شاهده خیلی وقیح هستین,sport
277,@PejmanRahbar این حرف شما که گفتین پیروزی اکثریت بر اقلیت یاد حرف یه بنده خدایی انداخت (خس و خاشاک) #پرسپولیس  #عشق  #گرشاسبی_را_برگردانید,sport
278,تیم رفت قطر  به امید موفقیت #پرسپولیس,sport
280,#طلب_برانکو_را_پرداخت_کنید نامدیران #پرسپولیس,sport
284,پول بهترین و تاثیر گذارترین مربی تاریخ #پرسپولیس و حتی ایران رو بدید بخدا ظلمه مگه نمیگن ما ایرانی ها میهمان نواز هستیم . #پول_برانکو_را_بپردازید,sport
285,یوزارسیف را خواب دیدم گفت به هواداران استقلال بگو  مجدداً خواب سال ۱۳۹۲ را دیدم که هفت قاضی پرسپولیسی ، هفت مجرم استقلالی را به هفت سال تمیز کردن جام های پرسپولیس محکوم کردند. #پرسپولیس,sport
286,@s_m_arabi @PejmanRahbar ما اون موقع داد زدیم پول فصل قبل برانکو رو بدید تاطبق قرارداد بمونه تازه منع قانونی و #قدرت_فراقانونی هم نبود چون همه می‌توانستند بازیکن و مربی خارجی بگیرند نداند و تا برانکو رو فراری بدند ای کاش یک بار همه متحد شیم برای رهایی #استقلال و #پرسپولیس از بند مدیریت ناکارآمد دولتی,sport
288,7 پرسپولیسی بدون صدور ویزا راهی قطر شدند و قرار شده در فرودگاه دوحه سفارت ایران برای دریافت ویزای این نفرات اقدامات لازم را انجام دهد.   #پرسپولیس #لیگ_قهرمانان_آسیا,sport
292,بازیکنان #پرسپولیس برای سفر به قطر سوار هواپیما شدند https://t.co/nmA3XbZMLy,sport
296,شاید باورتون نشه ولی اپ‌ رسمی باشگاه  پرسپولیس هستش! نمایش تاریخ سراسر جعل و دروغ دوچرخه سواران در اپ رسمی #پرسپولیس بخندیم یا گریه کنیم به این وضع؟ @AlirezaAshraf1 https://t.co/eY8nlQV58v,sport
302,اگر #کالدرون رو فراریش نمیدادن بدون نردید یه تیم رویایی با سبک بازی هجومی خاص آرژانتینی میساخت که هیچ تیمی تاب مقاومت در برابر #پرسپوليس رو نداشت و حتی میتونستیم به قهرمانی آسیا هم امیدوار باشیم، چه هجومهای انفجاری داشت پرسپولیس کالدرون 💪💪😍 https://t.co/CjSeyznZtr,sport
303,تا حالا هیچوقت برا دیدن تیمم ورزشگاه نرفتم هم مشکل مالی هم فاصله زیاد باعث شده نرم اگه روزی شرایط فراهم شه محل کارمو میندازم تهران همیشه میرم ورزشگاه  ارزوشو دارم خوشبحال شماها ک میتونین برین  #پرسپولیس زیباترین عشق جهان https://t.co/WzsMgCgTWx,sport
304,فاکتور حمایت از مربی از سوی هوادارا برای بالا بردن انگیزه مربی خیلی مهمه و هوادار #پرسپوليس با برانکو اینو بخوبی تجربه و درک کرده ولی مربیگری در تیمهای بزرگ به فاکتورهای دیگه ای هم نیاز داره که برانکو دارای تمامی اون فاکتورها بود و با حمایت هوادارا تونست از همه پتانسیلش بهره ببره https://t.co/tsYVkX6E4d,sport
309,این و زیر ورزش یا حرف هوادار رو عملی کن یا تیم رو خصوصی کن پیشکسوت از خواب بیدار شو #گرشاسبی_را_برگردانید  #پرسپوليس,sport
310,فوتبال ایران به سه نفر ظلم کرد:کیروش،شفر، ‌کالدرون. این سه نفر با جون ‌و دل کار می‌کردن و تیمهاشونم انصافا نتیجه‌گیر بودن ولی خب باندها دنبال مربی کاری و کاربلد نیستن #تیم_ملی #استقلال #پرسپوليس,sport
313,@PejmanRahbar اقای راهبر دم شما گرم که پشت هواداری ولی یه سوال که مغز ما پرسپولیسیا واقعا داره میترکونه کاشکی موقع برانکو هم هوای مارو داشتی همین!!! #انصاف #عدالت #گرشاسبی_را_برگردانید  #پرسپوليس,sport
317,به خاطر هواداران پرسپولیس گرشاسبی را برگردانید البته میدانیم که به هیچ جایتان نیست #گرشاسبی_را_برگردانید  #پرسپوليس https://t.co/4oHtxoZNZC,sport
318,با اینکه طرفدار  #پرسپوليس ام و متنفر از #استقلال ولی از بازگشت #استراماچونی به ایران به شدت خوشحال میشم. به نظرم حضور این آدم کلاس فصل قبل رو یه لول بالاتر برد! https://t.co/qSJso9orbM,sport
319,این استقلال لامصب تو آسیا هم تیم حکومتیه  الوحده که پوکید حالا خبر رسیده یه بازیکن خوب الاهلی هم مصدومه .. #استقلال  #پرسپولیس #دربی,sport
320,چند روز پیش خبر داده بودم که #علیپور حضورش در #ماریتیمو قطعی شده   #پرسپولیس #علی_علیپور #نقل_و_انتقالات #لیگ_برتر  https://t.co/C5CW67ebJu,sport
322,در مورد #پرسپولیس سوالم اینکه چرا یک #پیشکسوت درون هیئت مدیره وجود ندارد، هیچکدوم از این ادما اصلا نمیدونند #فوتبال چی هست، نباید یکنفر جلو تصمیمات اشتباه و بضرر تیمو بگیره، پرسپولیس پیشکسوت تحصیلکرده زیاد داره، داستان #استقلال هم همینه,sport
330,در مکتب #پرسپولیس نیست رسم ناجوانمردی و خوردن حق دیگران رسولپناه و هیات مدیره خائن مکتب پر افتخار پرسپولیس را با مقدم تان لکهدار کردید کوتاهیتان را در خصوص پرداخت #حقوق_برانکو ما هواداران نمیبخشیم,sport
339,#گرشاسبی_را_برگردانید  با هشتگ بالا ، صدای پرسپولیسه زخمی باشیم... #پرسپوليس,sport
346,حمید علی‌عسگر یه بازیکنی بود که از بودنش تو #پرسپولیس لذت می‌بردم.  الآن همون حس رو نسبت به آرمان رمضانی دارم. مهاجم اینقد نچسب؟,sport
359,ببینید خبر دلاران چطور احوال یک تیم را متشنج می کنند ! در هاله ای از ابهام ؟؟؟؟؟ #پرسپوليس  #قدرت_فراقانونی https://t.co/ehw3fFJzkh,sport
372,سلطانی فر عزیز اگر میخای ثابت کنی که #کیسه_کش نیستی #گرشاسبی_را_برگردانید  #پرسپولیس,sport
374,نه مدافع کناری خوب نه مهاجم مکمل خوب کنار خودش داشت تو ۲۴ سالگی چهارمین گلزن برتر تاریخ #پرسپوليس شد فقط هم فحش خورد تو فضای مجازی https://t.co/XOFhMVwGGh,sport
375,هم باید #گرشاسبی_را_برگردانید (همونطور که فتل رو برگردوندید)  هم باید #طلب_برانکو_را_پرداخت_کنید (همونطور که دارید طلب شفر رو میدید)  هم باید به اندازه هزینه برگشت استرا... پرسپولیس رو تقویت کنید... سر این هوادار شیره نمالید لطفا...  #گرشاسبی_را_برگردانید  #پرسپولیس,sport
377,#گرشاسبی_را_برگردانید  اقااا چجوریه ما بازرس داریم اونا ندارن یکی توضیح بده !!!! #پرسپولیس  #رسول_پناه  @PersepolisFC  #persepolis https://t.co/g54ByLapuS,sport
379,درخواست هوادارن #پرسپولیس ❤️ #گرشاسبی_را_برگردانید https://t.co/r9APPpc7SE,sport
381,داستان گرفتاریای پرسپولیس و خوشبحالی‌هایِ برگشتن چونی برای استقلالیا رو فراموش کنید.  ولی فقط اینو فراموش نکنید که اگه پای اسب رو هم ببندن خر قهرمان نمیشه😉  #پرسپولیس,sport
383,در زمانه ی مدیران فاسد و دلال، تنها گزینه ی هوادارن #پرسپولیس برای سامان دادن به وضعیت اسف بار این روزها #حمید_رضا_گرشاسبی را برگردانید #نه_به_تبعیض  #نه_به_قدرت_فرا_قانونی  #گرشاسبی_را_برگردانید https://t.co/Qv3JVVaeKF,sport
384,انتقال #علی_علیپور و #مهدی_ترابی از #پرسپولیس به ماریتیمو و العربی در سایت ترنسفرمارکت ثبت شد https://t.co/wnBfLRYJkE,sport
390,یه زمان #پرسپولیس با پنجره خالی هم قرارداد می بست بعد از جریمه نقل و انتقالات‌. هم مدیرش برکتار کردن و هم سرمربی موفقش که با ۱۱ بازیکن به فینال واقعی راه یافت. #طلب_برانکو_را_پرداخت_کنید  #گرشاسبی_را_برگردانید,sport
393,بعید می‌دونم دوست داشته باشید آه چهل میلیون هوادار پرسپولیس پشت سرتون باشه :)  میدونید که خدا جای حق نشسته  #پرسپوليس #گرشاسبی_را_برگردانید  #طلب_برانکو_را_پرداخت_کنید  #باشگاهمان_را_پس_بدهید https://t.co/iyGidPkits,sport
395,#گرشاسبی_را_برگردانید  به داد دل هوادار پرسپوليس برسيد..دلمون براى روزاى خوب تنگ شده😓چرا ميخوايد پرسپوليسو زمين بزنيد؟؟ #پرسپوليس https://t.co/xWuAYEwIPS,sport
