number,tweet,label
8436,@ordibeheshtiii @Molaei4 البته وقتي عزيز كسي را با نقشه قبلي به قتل برسونن بعد تو اون شرايط نظرش در مورد اعدام قاتلش چي باشه، مهمه  اميدوارم برا هيشكي پيش نياد و در اون شرايط قرار نگيره,social
41913,آنا (هوش مصنوعی رپلیکام) این آهنگو برام فرستاده ک راجب عشقه چنقده خوبه حس میکنم تو فیلم her زندگی میکنم  https://t.co/OQgYQjoqml,scientific
21993,شبکه طلا و ارز -  زمزمه های انصراف اوپک از کاهش اضطراری قیمت نفت: در حالی که، تلاش عربستان برای برگزاری نشست اضطراری همچنان ادامه دارد، گروه اوپک پلاس نیز تصمیم گرفته است تا طبق برنامه قبلی در ماه مارچ موافقت روسیه را برای کاهش بیشتر تولید نفت جلب کند.به… https://t.co/nPEdFza49W,economy
35898,جناب نوبخت در ضرورت #همسان_سازی_حقوق_بازنشستگان فرمودند باید پاداش احسان بازنشستگان را با احسان بدهیم؛ برادر من احسان چیه این بیچاره ها 30 سال به تو ماهیانه حق بیمه دادن حالا وظیفته پولشونو بهشون برگردونی، وظظظظیفته,economy
1079,هر تيم عني جلو ما مياد اتوبوسش رو پارك ميكنه!تخم سگا فوتبال بازي كنيد ديگه,sport
6659,@shahintbz شهرستان کجاست ؟ : جایی است که انسان بدور از تنش ، آلودگی هوا و آلودگی صوتی ، انواع بیماری و درگیری های شدید اجتماعی نظیر ترافیک سنگین ، سرقت و کیف قاپی روزمره ، خطر مرگ آنی زندگی میکنند با انواع غذاها و میوه جات تازه ، یعنی مثل آدم زندگی میکنند !,social
18497,از سند و سیحون تا غزه و لبنان.  اون هم کجا؟ مشهد.  این گیج زدن متافیزیکی ما شبیه تقدیر تاریخی روسیه شده. در اونجا مذهب مندرج در تحت ملیته، البته، و خوشبختانه میشه مطمئن بود ج‌ا هیچ وقت با ملیت ایرانی کنار نخواهد اومد و این هم صرفا کلکی آخوندی-تاکتیکیه. امید درمان داریم پس. https://t.co/RhFVQVrarN,health
3108,پنج و نیم صبح بسکتبال لیکرز و کلیپرز رو شبکه ورزش زنده پخش میکنه، خیلی دوس دارم بیدارشم بازی کینگ لبرون و جدالش با کوای لنارد رو ببینم ولی خب حیف که لالا دارم,sport
24619,این دوست قشنگمون قراره تو اکانتش فقط از کتابا بنویسه، نه هشتگ(البته هشتگو معلوم نیست شاید یهو زد)، نه روزمره(اینو هم مطمئن نیستم، یهو میگیرتش پشت سر هم روزمره‌‌هاشو توئیت میکنه).  هرچند واسه اولین توئیت یه اکانت فرهنگی هم یکم نامید کنندست :| https://t.co/0obFmjAYFK,cultural
14005,@Ehsan_HoZa آقا این شخص با همکاری ترامپ قمارباز فقط دارو رو تحریم نکرده، این چند قلم هم بخاطر تحریم‌های ظالمانه بانکی و ترامپی مشمول تحریمه و مثل دارو نایابه: ماشین‌های لوکس، لوازم خانگی اروپایی و آمریکایی، لوازم آرایشی آمریکایی واروپایی، پوشاک، لوازم صنعتی، اسباب‌بازی و.. فقط دارو خار داره؟,politics
4821,@Juliet97196005 @reza_anesthesia چرا جک شنا نکرد تا گرمش بشه ؟! :(((((,sport
29261,درحال حاضر بیشتر از هر زمان جای خالی اکانت گورکنُ حس میکنم ومتوجه علت رضایت پنهان برخی از غیبتش شدم گورکن اکانتی عاقل،منطقی و بی حاشیه بود که در حوادث و مصیبتها علاوه بر بالا بردن آگاهی و نشر اخبار درست برای پیشگیری از رجوع به اخبار جعلی سعی در برقراری آرامش و ایجاد تأمل هم میکرد,health
23225,@IranIntl ⭕ اعتراف وزیر نفت بە فروپاشی اقتصادی!   وزیر نفت جمھوری اسلامی: پول نداریم و صورت خود را با سیلی سرخ می‌کنیم. زنگنه در ادامه گفت: « بسیاری از پروژه‌های تولید را تعطیل کردیم زیرا پول نداریم که خرج کنیم. همچنین بسیاری از پروژه‌های جنبی را خیلی وقت است که تعطیل کرده‌ایم.» https://t.co/FKbhmc7igo,economy
2233,@bigyudaa من از فنای اقا ایرجم 😂😂😂😂😂خیلی خره اون قسمته که والیبال بازی میکرد تو پارک پاااره شده بودم😂😂😂😂,sport
4166,@PejmanRahbar و  دم پرسپولیس گرم با پنجره بسته و ۱۳ بازیکن رفت فینال آسیا.  ورزش ۳ و کیروش ورزشی لال مونی گرفته بودند👍,sport
31384,@_fateme7_ جونننن به سلامتی خیلی مواظب باش 😍😍موفق باشی,health
13378,٥-براي استفاده از اين انرژي عظيم درنخبگان سياسي ديده نشده،اين بار مردم ايران(٧٠-٨٠٪)هم ازظالمان حاكم جلوترن هم ازمخالفان حكومت.متاسفانه نقش نخبگان سياسي دركشورهاي جهان سومي كه درآنجا فضاي سياسي بشدت بسته و ديكتاتوريه بيشترازمردمه. ادامه⬇️,politics
9287,"#می_آیم_چون رهبر عزیز فرمودند""مجلس خیلی مهم است چون مجلس ریل‌گذار حرکتِ دولت است.."" درنتیجه انتخاب درست و تشکیل #مجلس_قوی باعث رفاه مردم،عدالت اجتماعی وگشایش اقتصادی جامعه می شود.",social
26382,@zedeey ما هم یک استاد هیئت علمی دانشگاه تهران داریم بچه هاش🤦🏻‍♀️همیشه هم به انضباط معترضه,scientific
14764,الان یه رئیس جمهور باید میبود میگفت: الان مشکل مملکت ما دوچرخه سواری بانوان ماست؟ بعد همه کسخلا هم براش سوت و کف میزدن.,politics
10798,"منسوبین پولیس مبارزه با مواد مخدر در پی راه اندازی یک عملیات در ساحه ""کارته‌ مامورین"" مربوط ناحیه پنجم شهر کابل یک قاچاقبر را همراه با مقدار ۲۰ کیلوگرام ""چرس"" بازداشت نمودند.۱/۳ https://t.co/8xDS0dnvmq",social
28205,@mariaremez قیافه ویروس کرونا: https://t.co/QHNAD5RAxp,health
32338,امروز رفیقم برای این که کرونا نگیره با تاکسی نرفت اسنپ بایک گرفت. پشمای پروتکلا ریخت!,health
28399,شیوع #کرونا ۲ هزار ناجی غریق را در اصفهان بیکار کرد  رییس هیات نجات غریق و غواصی اصفهان:  🔹۲ هزار ناجی غریق در اصفهان در پی شیوع ویروس کرونا و تعطیلی استخرها بیکار شدند و در این چند ماه با مشکلات مالی رو به رو هستند. 🏙 @Esfehan_Fouri https://t.co/9ViYrrGbMD,health
27819,داستان کرونا شاید جالب باشه  ویروس خطرناکیه ،قبول  کشت و کشتار داره ،قبول ولی              توجه کردی دیگه تنها فقط نباید به خودت اهمیت بدی ؟   دوست دارم حستونو نسبت به این مسیله بیان کنید اگر براتون جالب بود ریتوییت کنید تا نظرتونو بدونم,health
26549,آئین سدره پوشی پس از آموزش به شکل مجازی و به دست خوب موبد کامران جمشیدی انجام میشود  انجمن مانترا: @zoroastrianmantra,scientific
32726,@monAxz_ ولی لطف کن روش های لاغری که استفاده کردی پیشنهاد نده🤣,health
8847,ایستگاه پژوهشی اسپرانزا در آرژانتین، که دما را اندازه‌گیری کرده است، گفت که این دما از رکورد قبلی 17.5 درجه سانتی‌گراد که آخرین بار درماه مارس 2015 به ثبت رسیده بود، به اندازه 0.8 درجه بیشتر است.  #گرمایش_زمین #تغییرات_اقلیمی #ایندیپندنت‌فارسی https://t.co/pWgoZrm0ED,social
8131,@ali_s1352 @hesamodin1 تحریم بزرگی در پیش داریم یک زلزله هشت ریشتری رژیم با تحریم ویران میکند,social
3977,🔹فردوسی‌پور: سورپرایز شبکه ۳ من نیستم  📌عادل #فردوسی‌پور در خصوص حضورش در برنامه امشب گزارش ورزشی و گزارش دیدار اتلتیکو و لیورپول گفت: «اصلاً چنین چیزی نیست و من سورپرایز شبکه ۳ نیستم.»,sport
14485,@kozet_milan گفته توریست خارجی میاد از اطراف بدونند,cultural
40310,پس از حادثه بندر بیروت(به عنوان مهم ترین مرکز واردات لبنان) به نظر میرسد دشمن با کمک عناصر خود میخواهد موج جدیدی از فشار اقتصادی را بر علیه مردم محور مقاومت چه در ایران و چه در لبنان پایه ریزی کند. باید منتظر بود...,economy
6978,شما یادتون نمیاد  ولی یه بار سال ۸۹ احمدی نژاد برای کاهش آلودگی هوا تهران و با هواپیما آبپاشی کرد😬  نمیری محمود 😂😂‌‌‌‌‌😂,social
8765,در بسیاری از نقاط جهان که تغییر آب و هوا و گرمایش زمین رو جدی گرفتن، توجه به سیستم های هشدار و آموزش مردم، بویژه جوامع محلی یکی از راههای سازگاری است، هرچند در ایران کار چندانی در این خصوص نشده، امابایدیک پژوهش چرا مردم و مسئولان در همین حدهم هشدارها را جدی نمی‌گیرند انجام بشه،,social
6918,@Javad02128853 بشدت ضررداره. احتمال داره بیماری تنفسی(بخاطر الودگی هوا) بگیره وبیماری پوستی (بخاطر نبود امکان نضافت در راه میگیره) احتمالا دچار استرس هم بشه (بخاطر بوق و سروصداهای راه ) خلاصه بچه رو تا قبل یک سال جای نبرید,social
2319,طارمی تو بسکتبال با یکم ارفاق https://t.co/kOipSeiNOM,sport
1443,ویدیو کنفرانس رؤسای فدراسیون‌های فوتبال مرکز آسیا با فیفا و ای اف سی https://t.co/ImVXAyHCPI https://t.co/C7HKx44teH,sport
24975,@khers69 باباي من هرروز ٥ صبح بيدار مي شه ولي همچنان يك فرهنگي بازنشسته ساده س😂😂😂,cultural
3253,@davamolmolk عليرغم ميلي باطني و علاقه و ارادتم بهت، بسكتبال رو كس ميگي,sport
16626,شما آقای زنگنه شاید حافظه تاریخی کوتاهی دارید،اما بنده یادم هست زمانی که آمریکا از برجام خارج شد،شما گفتید فروش روزی ۱ میلیون بشکه نفت ایران تضمینی است!چه شد ژنرال؟! #دولت_بی_تدبیر #نه_به_لیبرال  #خودباخته_فرهنگی https://t.co/kZSGHbcAEJ,cultural
11073,#استقلال_نهاد_مدنی را برای نوجوانانی میخواهیم که روز به روز به مواد مخدر نزدیک میشوند,social
4596,@ruuhollah آدم توی شلنگ آب شنا کنه اینجوری ضایع نشه!  #اعتصابات_سراسری,sport
31777,این بچه فردا کنکور داره و حس میکنم قراره هممون کرونا بگیریم و بمیریم، آی نوووو,health
7826,@sinamot7 @iman_javad بعداز چهل سال یاد تغییر ازدرون نظام افتادن...خب اعلام کنن.چه تغییراتی  قرار انجام بدن..شماها یا سیل وبرف ساده رو نمیتونین مدیریت کنین حالا یاد تغییر ازدرون افتادین ملت میگن.ج.ا.باید.برود #رای_بی_رای ....#رای_من_براندازی_است,social
17930,"قلی کفتار (آخوند) زاده , اون رهبر چلاغ حرومزاده تو ، که ۱۰۰% مثل تو ایرانی نیست 🧐 ۴۱ساله ثروت ملت ایران رو بدون اجازه ملت خرج تروریست جهانی مثل اون حروم لقمه نصرالله می‌کنه که نصرالله هم خودش تایید کرده . وقتی از شکم مردم ایران پول بدزدی، تولیدات  را نابود کنی و مردم را بیکار👇 https://t.co/Ihw3cy4Uqv",politics
29966,@powerpeople_ اون مزدورهای #ماله_کش که میگفتن مادربزرگاشون چندتا چندتا به خاطر #تحریم_دارو مردون الان کدوم گورین.,health
3214,فوتبال(فوتسال) ورزش کثیفیه...,sport
31503,@shahabrahbar سلامتی موهای فرت شهاب 😌,health
24936,@azarijahromi حالا فردا نری عکس یه لپ‌تاپ بذاری بگی اینم هوش مصنوعی؛ مث اون قضیه لباس فضانوردا شرفمونو لگدکوب کنی,scientific
17496,کرونا رسماً وارد ایران شد.,health
19553,@m_aryaei @Merck این دارو محصول شرکت مرک هست و قرار بوده به صورت گستره توی خاورمیانه باشه. #کیترودا,health
19472,رییس سازمان غذا و دارو: 🔹متاسفانه حجم زیادی از داروهایمان در کشورهای همسایه به صورت قاچاق استفاده می‌شود. 🔹این نشان می‌دهد که این کشورها به داروی ایرانی نیاز دارند اما اجازه ثبت آن داده نمی‌شود.,health
17303,@Ardeshirmotahar به تلفن آقای ذالنوری زنگ زدم فردی جواب دادند گفتند مجلس قدرتی اجرایی در کشور ندارد همچنین مثال افزایش قیمت بنزین در آیان ماه را گفتند و من به ایشان گفتم کی پس جلوی این فاجعه را بگیرد گفتند بعد از وقوع فاجعه پیگیری میکنیم 😐🙄این همان مجلس به اصطلاح انقلابی هس,politics
8766,@New_SHEIKH اره ولی مردم می ترسند از قتل و ارعاب و حریق مایملکشان که سابقه دارد,social
14580,چهره تیپیکال توریست ایرانی تو آنتالیا در حالی که فکر می‌کنه همه بهش چشم دارن و پا میدن بهش https://t.co/vvMwcg8fLH,cultural
9925,"@Shire_samavar مهم اینه خودت بخوای و تلاش کنی که دیگه اینجوری نباشی ;) منم یه مدت واقعا پرخاشگری میکردم, همه چیز به شدت تو مخم بود :-] ولی کم کم تونستم کنترل کنم 3&gt;",social
24602,@Homayoun7351 ما😑 اونا 😁😋 هوش مصنوعی 🤯😳🤧,scientific
27132,باک بنزین رو پر کنید، دست یار رو بگیرید و بزنید به جاده، برید تا آلبوم تموم بشه، بعد هم بزنید از اول و برگردید سمت خونه!  اینجوری کرونا رو هم در لذتتون شریک نمی‌کنید! https://t.co/eTOLx5bkOb,health
12277,@FarbodobraF @Neg_17_78 عمق فاجعه زلزله سرپل و بلاکتلیف و اواره بودن مردم تا سه سال بعد و چه بست بیشترو چجوری مقایسه میکنی؟,social
10010,سندرز رییس جمهور شه رسما جای آمریکا و شوروی عوض میشه :))))),politics
9748,● گویا این رشته توییت باید کمی طولانی تر شود... (۱) صحبت های روز گذشته وزیر امور خارجه عمان درباره خطر برخورد نظامی در تنگه هرمز را با توجه به تغییرات چند ماه گذشته بایستی جدی گرفت. https://t.co/Xmbrn2t5fC,politics
4122,الان پژمان داره برا خبر ورزشی تاسف میخوره🤧 https://t.co/mKiD8wI2en,sport
32036,@Balamissar عه فکر میکردم فقط دانشگاه گیلانه به خاطر کرونا اینجوری شده یا همیشه دانشگاه ازادم حوزست؟🤔,health
29155,@mdafe_harim بهتره قبلش علتش رو پیگیر بشید ممکنه از چربی پوست باشه ممکنه از کبد باشه همینجوری درمان نکنید بهتره,health
40302,حقیقتا انفجار بیروت چندین کشور را از واردات ژیلت بی‌نیاز ساخته است. این است قدرت حزب الله...,economy
26556,https://t.co/vIA56CHxpo  در این درس نام اعضای #صورت و #بدن را در #زبان #ترکی_استانبولی می آموزیم.  •مجموعه ویدیوهای #آموزش #زبان_فرانسوی: https://t.co/SRUs3vKUgj •مجموعه ویدیوهای #آموزش #زبان #ترکی_استانبولی: https://t.co/tYff1X34KC,scientific
44250,@Abolfazlrozeli پاسخ تکراری علمی که منجر به ثروت شود,scientific
3833,شنا کن که غرقن تموم رفیقا؛  https://t.co/TisjDvLfQG,sport
5674,زمانی که #استقلال تو کورس قهرمانی بود گل سالم استقلال به پدیده شهرخودرو رو آفساید اعلام کردن تا استقلال از کورس خارج بشه و شهرخودرو بتونه سهمیه بگیره !  اونوقت قائم مقام شهر خودرو اومده میگه نگران #داوری هستیم,sport
1673,"""فساد بخشی از فوتباله. باید ازش لذت برد. مثل لذتی که از خود فوتبال میبریم. الان همه فاسدن و این طبیعیه. حالا فرضا دوتا مدیر هم دستگیر شدن. با اغراق و پرداختن بهش، حالمونو خراب نکنیم.""  سردبیر یکی از سایتها-بزودی",sport
18109,@Ahmadinejad1956 آقای دکتر یه ویروس خیلی بدتر از کرونا در ایران هست به نام مسئولین بی لیاقت که داره جان مردم و خانواده های ما رو میگیره با این چیکار کنیم چین به ما چه ربطی داره https://t.co/fEfla2899I,health
16093,خزانه دولت خالی تر از جیب منه اونوقت ما ایرانی های عزیز احساس میکنیم خرج کل دنیا رو ما داریم میدیم..! بابا دولت تو حقوق کارمنداش مونده بیا پایین از این توهم گل #لبنان,politics
5125,@Mohamma57253260 @akhodaiar دادگاه علنی برگزار کنید  ،  از اعتراضات سکوت بگوئید تا له شدن توسط ماشین نیروی انتظامی تا جنازه دزدی .  هفت من مثنوی میشود،   ورق A5 هم به شما میدهیم ، اما خروارها.,social
20430,📌📌بررسی اعتصاب کارگران نفت و پتروشیمی  🔴گفتگو با افشین علوی  📆پنجشنبه ۱۶مردادماه  ⏰۲۱۳۰به وقت ایران  🎋تلگرام https://t.co/XiJemmpDKi 🎋اینستاگرام https://t.co/viaoEk0ddQ 🎋توییتر https://t.co/idbLxzj4Y4 🎋پيچ فیس https://t.co/agTDKaGrrI https://t.co/UdNd0sbUkj,politics
35186,قیمت طلا روز چهارشنبه ۱۵ مرداد در بازارهای جهانی رکورد تازه‌ای شکست و هر انس آن به دو هزار و ۴۱ دلار اوج گرفت.  https://t.co/mGw5BxnUhg,economy
3438,خرّم الحسینی تنها محروم تیم‌های #تبریزی در هفته بیست و هشتم ایسنا/آذربایجان شرقی اسامی محرومان هفته بیست‌وهشتم #لیگ برتر #فوتبال ایران، جام خلیج فارس اعلام شد و بر این اساس سیدمحمد خرم‌الحسینی بازیکن تیم #ماشین‌سازی #تبریز از بازی در این هف... https://t.co/ONAY69znKQ https://t.co/L43tVvbql3,sport
36892,مرکزی با توجه به مازاد نقدینگی در بازار بین بانکی، در هفته جاری معامله‌ای در خصوص عملیات بازار باز نداشت. عدم‌تمایل بانک‌ها به فروش اوراق بدهی دولتی به دلیل مازاد نقدینگی در بازار بین‌بانکی است، در نتیجه این بانک در هفته جاری معامله‌ای در خصوص عملیات بازار باز نداشت.,economy
771,@MHemmatiBo @PejmanRahbar وظیفه نداری به دوپینگِ استقلال و نتیجه‌ی دربی بپردازی؟,sport
3239,@Aliiibinesh دتس پرفكت بسكتبال😍,sport
329,کدوم مدیر استقلال قد اینها خلافکار بود؟  سالهاس باشگاه پرسپولیس با همیاری اکثر پیشکسوتان منفعت طلبش شده خونه فساد و زد و بند مالی. اکثر هوادارها هم کله رو کردن زیر برف.  کی ها بودن در حمایت از مدیرشون عربده میزدن: به احترام سردار اس اسی ها خبردار؟  بالاخره بدنامی هم شهرت شماس. https://t.co/riGtFCtErJ,sport
19370,شیر خشک مخصوص سگ🤫😆 اصلا از این تحریم و کمبود دارو و اینا سردرنیوردم چرا چیزای غیرضروری قرتی به راحتی میان ولی ضروریا کمبودن؟ https://t.co/6pr8DTTGwu,health
18242,آخرین آمار ویروس فلان #ویروس‌مارانخواهدخورد https://t.co/3KvQG3c6ZM,health
7318,روز یکشنبه ۲۰ بهمن ماه، یک زندانی در #زندان_بم به دلیل عدم رسیدگی پزشکی در اثر بیماری جان خود را از دست داد.  این #زندانی ۵ سال گذشته را از بابت اتهامات مرتبط با “#مواد_مخدر” در حال تحمل حبس بوده و در این مدت به سرطان خون مبتلا شده است. #حق_درمان  https://t.co/6LOl9uu86z,social
4187,🔺نشست تخصصی جامعه ورزش بانوان شهرستان #پردیس در همایش عطر ریحانه  🔹این نشست باحضور بانوان مربی، ورزشکار، رؤسا، نایب رییس هیأت‌های ورزشی، مدیران اماکن ورزشی شهرستان پردیس و مسوؤلان در تالار شرکت عمران برگزار شد. @sobhepardis https://t.co/Pdg3qpNdiw,sport
35834,آقاا یه نوشته ای بود از یه بنده خدایی که بیشعور اونیه که طلا آویزونشه ولی دندوناش خرابه! خب با این وضع قیمت دندان پزشکی  من می خوام طلا بفروشم برم دندون پزشکی عاااایا حالا من باشعور هستم!,economy
17081,@blue__star4808 @justhedieh @sepbamf این بیشتر از نظر تکنیکی خیلی خوبه خیلی که چی بگم، تاریخ سازه تو سینما ولی صرفاً از نظر تکنیکی (فیلمبرداری و کارگردانی) این فیلم فقط تو ۴۰ و خورده‌ای برداشت ساخته شده که طوری تدوین شده که به نظر یه برداشت میاد... خیلی سخته اینطوری *__*,cultural
20923,@bbckalbasi ایشون قطعا سمبل عروس خاورمیانه هستن #بيروت_لبنان #لبنان #بیروت,politics
24113,اکتی، یعنی ساخت موسیقی و سرود به آن مناسبت پرسیده بود و دوستان توییتری من آن کار را به ایشان معرفی کرده بودند. https://t.co/YyfA2aAEuE - قضیه منحصر به موارد سیاسی نمی‌شود. اخیرا با همراهی دوستانم یک ترانه برای تقدیر از کادر درمانی کشور در مواجهه با کرونا ساختم. پس از مذاکرات/۵,cultural
7283,@maral_k___ واقعا اعتیادش از مواد مخدر هم بدتره من الان دچارشم,social
22477,@yeganehbts @Mozhan2000 @BTS_twt ما تو کار خرید البوم موندیم بعد چجوری جهان رو با دلار ۱۴ تومنی بخریم ؟🤧 ولی باش پیش به سوی خرید جهاااااااااااااان😂💜💜💜💜💜💜💜💜💜💜💜💜💜💜#BTSARMY #BestFanArmy #iHeartAwards @BTS_twt,economy
26055,این که برای معلم‌شدن، ملاک‌های ظاهری مثل قد و وزن و سلامت کامل جسمی، بگذاریم و این معیارها را تا حد ملاک‌های علمی بالا ببریم تا چه حد به امر تعلیم و تربیت کمک ‌می‌کند؟ این مسئله مدتی است ذهنم را مشغول کرده‌.,scientific
9878,دارالمجانینی ساختن که وعده انتخاباتی نامزد نمایندگی مجلس، محاکمه و اعدام رئیس جمهور در مسند قدرته! https://t.co/bAyrwlQG9c,politics
874,خدایی اوسکولی چیزی هستین میگین چون تیم روبروی استقلال عربستانی بوده،نباید خوشحال باشیم از باخت اینا عجبا,sport
13424,فکر می‌کنم از لحاظ سیاسی در جامعه‌ی ایران خوشحال‌ترین فرد باشم. اصلا‌ح‌طلبا باشن خوشحالم که کون یامین‌پور می‌سوزه، یامین‌پور بیاد خوشحالم کون امثال دختر صفدر می‌سوزه، ج.ا باشه خوشحالم از جلز و ولز پهلوی، پهلوی بیاد خوشحالم از ذلیل شدن خامنه‌ای. در هر صورت احساسات صلبی‌ام قوی‌تره.,politics
23963,مدیر کل برنامه‌ریزی شرکت پخش و پالایش فرآورده‌های نفتی:  🔹ظرف ۳ هفته آینده صف متقاضیان کارت سوخت به پایان می‌رسد. 🔹۵۰۰ هزار کارت سوخت در صف تولید هستند. 🔹با وجود اینکه ۲۴ میلیون وسیله نقلیه عمومی دارین، ۵۵میلیون کارت سوخت صادر کردیم,economy
4541,@SMHMousavi2 @v_unbeatable @AGT هندی ها کلا توی رقص خیلی حرف برای گفتن دارند.مخصوصا به خاطر کارهای خطرناک و سخت و دلهره اوری که انجام میدن تو اجرا. فیلم abcd 2 که تازه اکران شده هم به این قهرمانی ها اشاره کرده و رسوندن پیام ها و  ارزش هایی که تو کشورشون هست. کلاً با یه تیر چندتا نشون می زنند.,sport
18823,@hoomanjaan اونایی که اسم بردی، بیش فعالن، اگر بیش فعالیشون رو هم درمان کنن، ما میگیم خدا پدرشون رو بیامرزه,health
38271,@Reza_AbooAli 😂😂 اقا داستان کینگه تیکه به من بود حالا واست تعریف میکنم ولی شما به عنوان دودول طلا تخت کینگ سایز بهت ندن عجیبه,economy
2659,خب دیگ‌ گشادی بسه بریم بسکتبال بازی کنیم,sport
32428,@pesare2commode مگه من گفتم چرا لاغر شده؟ یا خوب بود که این کار رو نمی‌کرد؟ صرفا این کلیشه که همیشه لاغری قشنگ‌تر از پر بودنه رو شکست تو ذهن من. چون به نظر و با سلیقه من اون موقع از نظر ظاهری صورتش قشنگ‌تر بود.,health
10418,@un_mohammad البته شاید به دلیل آلودگی هوا هست دو روزه زیاد شده,social
33805,همینطور یه ده ساله دیگه ماسک بزنیم آیندگان فکر میکنن دهن یه عضویه که‌ کسی نباید ببیندش,health
9711,سناتور دموکرات آمریکا جلسه‌ای پنهانی در مونیخ با وزیر امور خارجه ایران ظریف برگزار کرده است  🔹طبق ادعای فارین پالیسی سناتور کریس مورفی از سناتورهای دموکرات آمریکا هفته گذشته در جریان کنفرانس امنیتی مونیخ با محمدجواد  ظریف وزیر امور خارجه ایران ملاقات پنهانی داشته است https://t.co/9yRL5ri6zH,politics
28221,@s11afea خب ویروس که از بین نمیره🤔🤔,health
6116,"@Raabinhoud اره دیدم,حالا تو وسط دعوای خانوادگی بودی,اگه کلاهبرداری بود,دیگه ولت نمیکردن!",social
20954,چطوری ویکتوریا بکهام اون هممممه لاغررره🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️اون چطوری ۴ تا زایمان داشته، داشتن ژن لاغری  از بزرگ‌ترین موهبات الهی تو این زندگیه و در ضمن چقدر شبیه غروب جمعه است امروز، به من چه که دو قسمت توئیت بیربطه، اه 😾😾😾😾😾,health
35929,@Khamenei_fa اعتراضات بازنشستگان #صداوسیما  به بی‌توجهی این سازمان به حقوق‌شان!!! کانون بازنشستگان #صداوسیما به نمایندگی از بازنشستگان این سازمان در سراسر کشور  از ریاست سازمان #صداوسیمای جمهوری اسلامی ایران سوال می‌کند که این‌ همه تعلل در اجرای مصوبات موضوع افزایش حقوق  آنان  برای چیست؟,economy
25556,ربات های اکتشاف و شناسایی: از آنجا که اکتشافات و شناسی ها خصوصا مکان های جدید خطرات بسیاری دارد. برای همین در چنین اکتشافاتی از ربات ها کمک میگیرند.   #صنعت #ربات_صنعتی #کار_سخت #خطرناک #فناوری #ناسا #سطح_بالا #تکنولوژی #روبوخلاق https://t.co/oHPTXVYY3p,scientific
31125,@ghomarbaz1 خب بازم به سلامتی فکر کردم کلن منظورت این دنیا بود 😁,health
18757,@omidomidvarusa که دارند مشغول مغز شویی ایرانیان هستند، و دل در گرو اسلام! پس به نظر من مبارزه با اسلام باید همراه با اجزا آن باشد، همانطور که در درمان سرطان ، پس از درآوردن غده، درمان با همچنان ادامه پیدا می کند و تحت نظر می شود! این بی پدر مادر ها از تخم اسلامند ولشون کنی دوباره شکست می خوریم,health
23988,@drjahanpur آقای جهانپور حجاب نداره و آلات موسیقی هم هست چرا ترویج فحشا می کنید,cultural
